"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-09-30,75119,"39059","MS","Jackson","Copiah","Crystal Springs",6834,84500,0.00595238095238095,0.0254854368932039,0.111842105263158,0.0266152238395634,,"2016-09","2016-Q3",84500,0,"2016-09"
2016-09-30,65667,"18960","PA","Philadelphia","Bucks","Sellersville",6835,263000,0.00843558282208589,0.0269426005466615,0.0387045813586098,0.0161953292624084,-0.00531646488070137,"2006-07","2006-Q3",279000,-0.0573476702508961,"2005-05"
2016-09-30,74772,"38340","TN","Jackson","Chester","Henderson",6836,105800,0.00379506641366224,0.0242013552758954,0.0202507232401157,0.0326476839859782,0.0241983377030639,"2016-09","2016-Q3",105800,0,"2016-09"
2016-09-30,75918,"41094","KY","Cincinnati","Boone","Walton",6837,186900,0.00700431034482759,0.0185286103542234,0.0692219679633867,0.0320845643368481,0.0164262682836709,"2016-09","2016-Q3",186900,0,"2016-09"
2016-09-30,96798,"92314","CA","Riverside","San Bernardino","Big Bear City",6838,208300,0.00676655389076849,0.0245941957697983,0.036318407960199,0.0604826382722665,-0.0285563666035235,"2006-08","2006-Q3",278500,-0.252064631956912,"2004-08"
2016-09-30,92715,"78861","TX","San Antonio","Medina","Hondo",6839,143000,0.00633356790992259,0.0445580715850986,0.155088852988691,0.0559944399424535,,"2016-09","2016-Q3",143000,0,"2016-09"
2016-09-30,75403,"39730","MS",,"Monroe","Aberdeen",6840,80800,0.00123915737298637,-0.0182260024301337,0.0673712021136063,0.0363177408695863,0.0290163302507596,"2016-06","2016-Q2",82300,-0.0182260024301337,"2016-05"
2016-09-30,60306,"06424","CT","Hartford","Middlesex","Town of East Hampton",6841,237000,0.00253807106598985,0,0,0.0042736600436748,-0.011922091961115,"2006-07","2006-Q3",268800,-0.118303571428571,"2004-11"
2016-09-30,61097,"08534","NJ","Trenton","Mercer","Hopewell Township",6842,409600,0.00688298918387414,0.0133597229094508,0.00540009818360334,0.00964808943563766,-0.0121157877873285,"2006-05","2006-Q2",474000,-0.135864978902954,"2004-09"
2016-09-30,72080,"32579","FL","Crestview-Fort Walton Beach-Destin","Okaloosa","Shalimar",6843,232500,0.0130718954248366,0.0337927967985771,0.0783858998144712,0.0384807359267065,-0.0176789715519,"2006-01","2006-Q1",306300,-0.240940254652302,"2005-02"
