,RegionName,Zhvi
394,37167,178800
395,17331,159000
396,21061,240500
397,95014,1757100
398,99208,215200
399,85345,170800
400,74133,179500
401,95670,271800
402,92105,378500
403,46143,151300
404,98682,261000
405,60148,239900
406,45013,129700
407,32303,126600
408,85251,263300
409,19067,346200
410,20852,389000
411,30066,224200
412,19134,54500
413,79924,88100
414,30253,154900
415,60637,145500
416,28210,282200
417,38655,185200
418,94080,827800
419,28215,133700
420,75035,337300
421,70072,128400
422,72712,189100
423,33433,262300
424,47150,117200
425,89103,108100
426,12180,160400
427,90640,494500
428,78758,222200
429,33015,217800
430,78759,400800
431,28216,125600
432,59901,180800
433,92648,886200
434,38305,125100
435,45044,114300
436,23322,325800
437,37027,538300
438,78741,166500
439,32765,258700
440,37421,168800
441,1201,155100
442,59102,199800
443,28205,169900
444,20904,392800
445,30083,105900
446,94513,512100
447,94087,1622000
448,42701,144800
449,30067,207700
450,8759,147200
451,30047,185200
452,30263,144800
453,94112,864900
454,78251,157500
455,53704,180500
456,7305,256900
457,23455,276200
458,30058,109700
459,60608,211000
460,11216,947400
461,95125,1110900
462,28227,156100
463,29681,212000
464,92122,602300
465,41042,147300
466,96815,441000
467,30101,209600
468,90036,1504900
469,19148,182900
470,37064,382600
471,33436,220600
472,27265,146700
473,33324,200000
474,37040,139100
475,33021,242300
476,98208,373700
477,27407,114600
478,76137,181800
479,92117,568500
480,37122,266000
481,77070,187100
482,98034,509700
483,54601,138000
484,27703,154600
485,78753,196100
486,92128,559300
487,11746,428500
488,33463,175600
489,94806,381500
490,92562,388400
491,77007,371300
492,7047,333800
493,60004,331200
494,78664,184500
495,19104,117200
496,95648,402200
497,6457,188900
498,2151,335000
499,33308,346700
500,32825,196900
501,34668,81200
502,94591,407400
503,2780,250500
504,78209,340500
505,2135,377400
506,84404,156800
507,33141,271400
508,91331,416300
509,7728,324500
510,53711,264700
511,85201,162300
512,20910,507600
513,89074,248600
514,55124,246500
515,93308,183000
516,48066,77500
517,28540,123200
518,17601,219900
519,8527,337600
520,19144,123100
521,6511,185300
522,22192,316400
523,27106,159500
524,37066,202500
525,97124,334600
526,32771,169600
527,30075,378200
528,70065,184000
529,45140,231300
530,45424,105300
531,33023,187100
532,22201,595300
533,94568,788200
534,90042,617200
535,78641,209700
536,92020,463400
537,47130,111900
538,92620,833800
539,95112,666000
540,94553,535400
541,37129,192800
542,72034,162300
543,19702,204300
544,30144,184500
545,80219,243200
546,91801,571300
547,37128,203900
