,Location,Zhvi
424,"38.3, -85.82",117200
425,"36.11, -115.21",108100
426,"42.73, -73.67",160400
427,"34.0, -118.1",494500
428,"30.26, -97.74",222200
429,"25.86, -80.29",217800
430,"30.26, -97.74",400800
431,"35.19, -80.83",125600
432,"48.19, -114.38",180800
433,"33.67, -118.0",886200
434,"35.63, -88.82",125100
435,"39.5, -84.37",114300
436,"36.67, -76.3",325800
437,"35.99, -86.78",538300
438,"30.26, -97.74",166500
439,"28.65, -81.18",258700
440,"35.06, -85.25",168800
441,"42.45, -73.26",155100
442,"45.76, -108.57",199800
443,"35.19, -80.83",169900
444,"39.01, -77.02",392800
445,"33.8, -84.17",105900
446,"37.87, -121.68",512100
447,"37.35, -122.03",1622000
448,"37.7, -85.87",144800
449,"33.95, -84.54",207700
450,"39.93, -74.39",147200
451,"33.88, -84.13",185200
452,"33.37, -84.78",144800
453,"37.72, -122.44",864900
454,"29.45, -98.5",157500
455,"43.07, -89.38",180500
456,"40.71, -74.06",256900
457,"36.73, -76.04",276200
458,"33.71, -84.1",109700
459,"41.83, -87.68",211000
460,"40.64, -73.94",947400
461,"37.29, -121.88",1110900
462,"35.19, -80.83",156100
463,"34.73, -82.25",212000
464,"32.85, -117.2",602300
465,"38.99, -84.64",147300
466,"21.3, -157.85",441000
467,"34.05, -84.67",209600
468,"34.06, -118.35",1504900
469,"39.95, -75.16",182900
470,"35.92, -86.84",382600
471,"26.52, -80.08",220600
472,"35.98, -79.99",146700
473,"26.14, -80.13",200000
474,"36.56, -87.34",139100
475,"26.02, -80.16",242300
476,"47.9, -122.18",373700
477,"36.07, -79.82",114600
478,"32.75, -97.33",181800
479,"32.81, -117.19",568500
480,"36.2, -86.52",266000
481,"29.76, -95.38",187100
482,"47.72, -122.2",509700
483,"43.82, -91.23",138000
484,"35.98, -78.91",154600
485,"30.26, -97.74",196100
486,"32.99, -117.07",559300
487,"40.84, -73.4",428500
488,"26.61, -80.05",175600
489,"37.98, -122.33",381500
490,"33.54, -117.33",388400
491,"29.76, -95.38",371300
492,"40.79, -74.02",333800
493,"42.09, -87.98",331200
